Date	Close/Last	Volume	Open	High	Low
9/8/21	155.11	74420210	156.98	157.04	153.98
9/7/21	156.69	82278260	154.97	157.26	154.39
9/3/21	154.30	57866070	153.76	154.63	153.09
9/2/21	153.65	71171320	153.87	154.72	152.40
9/1/21	152.51	80313710	152.83	154.98	152.34
8/31/21	151.83	86453120	152.66	152.80	151.29
8/30/21	153.12	90956720	149.00	153.49	148.61
8/27/21	148.60	55802390	147.48	148.75	146.83
8/26/21	147.54	48597200	148.35	149.12	147.51
8/25/21	148.36	58991300	149.81	150.32	147.80
8/24/21	149.62	48606430	149.45	150.86	149.15
8/23/21	149.71	60131810	148.31	150.19	147.89
8/20/21	148.19	60549630	147.44	148.50	146.78
8/19/21	146.70	86960310	145.03	148.00	144.50
8/18/21	146.36	86325990	149.80	150.72	146.15
8/17/21	150.19	92229740	150.23	151.68	149.09
8/16/21	151.12	103558800	148.54	151.19	146.47
8/13/21	149.10	59375010	148.97	149.44	148.27
8/12/21	148.89	73779110	146.19	149.05	145.84
8/11/21	145.86	48493460	146.05	146.72	145.53
8/10/21	145.60	69023080	146.44	147.71	145.30
8/9/21	146.09	48908690	146.20	146.70	145.52
8/6/21	146.14	54126810	146.35	147.11	145.63
8/5/21	147.06	46397670	146.98	147.84	146.17
8/4/21	146.95	56368270	147.27	147.79	146.28
8/3/21	147.36	64786620	145.81	148.05	145.18
8/2/21	145.52	62879960	146.36	146.95	145.25
7/30/21	145.86	70440630	144.38	146.33	144.11
7/29/21	145.64	56699480	144.69	146.55	144.58
7/28/21	144.98	118931200	144.81	146.97	142.54
7/27/21	146.77	104818600	149.12	149.21	145.55
7/26/21	148.99	72434090	148.27	149.83	147.70
7/23/21	148.56	71447420	147.55	148.72	146.92
7/22/21	146.80	77338160	145.94	148.20	145.81
7/21/21	145.40	74993460	145.53	146.13	144.63
7/20/21	146.15	96350040	143.46	147.10	142.96
7/19/21	142.45	121434600	143.75	144.07	141.67
7/16/21	146.39	93251430	148.46	149.76	145.88
7/15/21	148.48	106820300	149.24	150.00	147.09
7/14/21	149.15	127050800	148.10	149.57	147.68
7/13/21	145.64	100827100	144.03	147.46	143.63
7/12/21	144.50	76299720	146.21	146.32	144.00
7/9/21	145.11	99890800	142.75	145.65	142.65
7/8/21	143.24	105575500	141.58	144.06	140.67
7/7/21	144.57	104911600	143.54	144.89	142.66
7/6/21	142.02	108181800	140.07	143.15	140.07
7/2/21	139.96	78945570	137.90	140.00	137.75
7/1/21	137.27	52485780	136.60	137.33	135.76
6/30/21	136.96	63261390	136.17	137.41	135.87
6/29/21	136.33	64556080	134.80	136.49	134.35
6/28/21	134.78	62111300	133.41	135.25	133.35
6/25/21	133.11	70783750	133.46	133.89	132.81
6/24/21	133.41	68711000	134.45	134.64	132.93
6/23/21	133.70	60214200	133.77	134.32	133.23
6/22/21	133.98	74783620	132.13	134.08	131.62
6/21/21	132.30	79663320	130.30	132.41	129.21
6/18/21	130.46	108953300	130.71	131.51	130.24
6/17/21	131.79	96721670	129.80	132.55	129.65
6/16/21	130.15	91815030	130.37	130.89	128.46
6/15/21	129.64	62746330	129.94	130.60	129.39
6/14/21	130.48	96906490	127.82	130.54	127.07
6/11/21	127.35	53522370	126.53	127.44	126.10
6/10/21	126.11	71186420	127.02	128.19	125.94
6/9/21	127.13	56877940	127.21	127.75	126.52
6/8/21	126.74	74403770	126.60	128.46	126.21
6/7/21	125.90	71057550	126.17	126.32	124.83
6/4/21	125.89	75169340	124.07	126.16	123.85
6/3/21	123.54	76229170	124.68	124.85	123.13
6/2/21	125.06	59278860	124.28	125.24	124.05
6/1/21	124.28	67637120	125.08	125.35	123.94
5/28/21	124.61	71311110	125.57	125.80	124.55
5/27/21	125.28	94625600	126.44	127.64	125.08
5/26/21	126.85	56575920	126.96	127.39	126.42
5/25/21	126.90	72009480	127.82	128.32	126.32
5/24/21	127.10	63092950	126.01	127.94	125.94
5/21/21	125.43	79295440	127.82	128.00	125.21
5/20/21	127.31	76857120	125.23	127.72	125.10
5/19/21	124.69	92611990	123.16	124.92	122.86
5/18/21	124.85	63342930	126.56	126.99	124.78
5/17/21	126.27	74116550	126.82	126.93	125.17
5/14/21	127.45	81917950	126.25	127.89	125.85
5/13/21	124.97	105861300	124.58	126.15	124.26
5/12/21	122.77	112172300	123.40	124.64	122.25
5/11/21	125.91	126142800	123.50	126.27	122.77
5/10/21	126.85	88071230	129.41	129.54	126.81
5/7/21	130.21	78973270	130.85	131.26	129.48
5/6/21	129.74	78128330	127.89	129.75	127.13
5/5/21	128.10	84000900	129.20	130.45	127.97
5/4/21	127.85	137564700	131.19	131.49	126.70
5/3/21	132.54	75135100	132.04	134.07	131.83
4/30/21	131.46	109839500	131.78	133.56	131.07
4/29/21	133.48	151101000	136.47	137.07	132.45
4/28/21	133.58	107760100	134.31	135.02	133.08
4/27/21	134.39	66015800	135.01	135.41	134.11
4/26/21	134.72	66905070	134.83	135.06	133.56
4/23/21	134.32	78756780	132.16	135.12	132.16
4/22/21	131.94	84566460	133.04	134.15	131.41
4/21/21	133.50	68847140	132.36	133.75	131.30
4/20/21	133.11	94812350	135.02	135.53	131.81
4/19/21	134.84	94264220	133.51	135.47	133.34
4/16/21	134.16	84922390	134.30	134.67	133.28
4/15/21	134.50	89347100	133.82	135.00	133.64
4/14/21	132.03	87222780	134.94	135.00	131.66
4/13/21	134.43	91266550	132.44	134.66	131.93
4/12/21	131.24	91419980	132.52	132.85	130.63
4/9/21	133.00	106686700	129.80	133.04	129.47
4/8/21	130.36	88844590	128.95	130.39	128.52
4/7/21	127.90	83466720	125.83	127.92	125.14
4/6/21	126.21	80171250	126.50	127.13	125.65
4/5/21	125.90	88651180	123.87	126.16	123.07
4/1/21	123.00	75089130	123.66	124.18	122.49
3/31/21	122.15	118323800	121.65	123.52	121.15
3/30/21	119.90	85671920	120.11	120.40	118.86
3/29/21	121.39	80819200	121.65	122.58	120.73
3/26/21	121.21	94071230	120.35	121.48	118.92
3/25/21	120.59	98844680	119.54	121.66	119.00
3/24/21	120.09	88530490	122.82	122.90	120.07
3/23/21	122.54	95467140	123.33	124.24	122.14
3/22/21	123.39	111912300	120.33	123.87	120.26
3/19/21	119.99	185549500	119.90	121.43	119.68
3/18/21	120.53	121469800	122.88	123.18	120.32
3/17/21	124.76	111932600	124.05	125.86	122.34
3/16/21	125.57	115227900	125.70	127.22	124.72
3/15/21	123.99	92590560	121.41	124.00	120.42
3/12/21	121.03	88105050	120.40	121.17	119.16
3/11/21	121.96	103026500	122.54	123.21	121.26
3/10/21	119.98	111943300	121.69	122.17	119.45
3/9/21	121.09	129525800	119.03	122.06	118.79
