<HTML>
<TITLE>University of Wyoming - Radiosonde Data</TITLE>
<BODY BGCOLOR="white">
<H2>72403 IAD Sterling Observations at 00Z 01 Oct 2019</H2>
<PRE>
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1011.0     93   20.4   18.9     91  13.78    120      4  292.6  331.9  295.1
 1000.0    186   20.0   17.7     87  12.91    140      6  293.1  330.0  295.4
  986.2    305   19.2   17.1     87  12.60    155      9  293.6  329.6  295.8
  951.8    610   17.3   15.6     90  11.83    175     15  294.6  328.6  296.7
  926.0    846   15.8   14.4     91  11.26    194     16  295.4  327.9  297.4
  925.0    855   15.8   14.4     91  11.27    195     16  295.5  328.1  297.5
  918.6    914   15.7   14.4     92  11.37    200     16  296.0  329.0  298.0
  904.0   1050   15.6   14.5     93  11.61    213     15  297.2  331.0  299.3
  886.2   1219   15.8   15.1     96  12.33    230     14  299.1  335.3  301.3
  869.0   1386   16.0   15.7     98  13.08    238     13  301.0  339.6  303.4
  855.0   1524   14.8   13.3     91  11.39    245     13  301.2  334.9  303.2
  850.0   1574   14.4   12.5     88  10.82    270     12  301.2  333.4  303.2
  824.5   1829   13.1   11.3     89  10.34    300     16  302.5  333.4  304.4
  794.9   2134   11.6   10.0     90   9.78    305     22  304.0  333.5  305.8
  766.5   2438   10.0    8.6     91   9.24    310     25  305.5  333.6  307.2
  739.1   2743    8.5    7.2     92   8.72    315     26  307.1  333.7  308.7
  712.6   3048    7.0    5.9     93   8.22    315     29  308.6  333.9  310.1
  700.0   3197    6.2    5.2     93   7.98    315     28  309.3  334.1  310.8
  663.0   3641    3.8    1.7     86   6.57    325     23  311.5  332.1  312.7
  661.6   3658    3.5    0.9     83   6.23    325     23  311.3  330.9  312.4
  645.0   3864   -0.5   -8.5     55   3.14    332     26  309.0  319.2  309.6
  637.1   3962    0.4   -4.7     69   4.25    335     28  311.1  324.8  311.9
  632.0   4027    1.0   -2.2     79   5.18    334     29  312.6  329.1  313.5
  617.0   4221    1.0   -0.7     88   5.93    331     31  314.7  333.7  315.8
  613.5   4267    0.2   -3.6     75   4.80    330     31  314.4  329.8  315.3
  610.0   4312   -0.5   -6.5     64   3.87    330     31  314.0  326.6  314.7
  605.0   4378    0.2   -1.9     86   5.53    331     31  315.6  333.4  316.6
  597.0   4485   -0.1   -1.5     90   5.78    332     31  316.4  335.0  317.5
  579.0   4730   -1.9   -3.9     86   4.98    334     31  317.1  333.3  318.0
  568.4   4877   -4.6  -22.1     24   1.16    335     31  315.6  319.6  315.8
  568.0   4882   -4.7  -22.7     23   1.09    335     31  315.5  319.4  315.8
  552.0   5108   -3.3  -33.3      8   0.42    336     31  319.8  321.4  319.9
  547.0   5180   -1.7  -31.7      8   0.50    337     31  322.5  324.4  322.6
  517.0   5627   -3.7  -29.7     11   0.63    339     31  325.3  327.7  325.5
  500.0   5890   -5.5  -35.5      7   0.37    340     31  326.3  327.7  326.3
  486.9   6096   -7.3  -36.6      8   0.34    340     30  326.6  327.9  326.6
  481.0   6192   -8.1  -37.1      8   0.33    341     30  326.7  328.0  326.8
  466.0   6436  -10.5  -28.5     21   0.79    342     30  326.7  329.6  326.8
  459.0   6552  -10.9  -37.9      9   0.32    343     30  327.6  328.9  327.7
  448.0   6737  -12.5  -29.5     23   0.75    344     30  327.9  330.7  328.0
  409.0   7424  -17.7  -52.7      3   0.07    349     31  329.8  330.1  329.8
  400.0   7590  -19.1  -52.1      4   0.08    350     31  330.1  330.4  330.1
  398.4   7620  -19.3  -52.3      4   0.08    345     31  330.3  330.6  330.3
  366.6   8230  -22.4  -56.4      3   0.05    345     37  333.9  334.2  334.0
  335.0   8892  -25.9  -60.9      2   0.03    334     28  337.9  338.1  337.9
  323.4   9144  -28.1  -60.3      3   0.04    330     24  338.3  338.4  338.3
  300.0   9680  -32.9  -58.9      6   0.05    345     21  338.9  339.1  338.9
  284.0  10058  -36.3  -58.0      9   0.05    350     19  339.3  339.6  339.3
  264.0  10562  -40.9  -56.9     16   0.07    334     30  339.8  340.1  339.8
  259.9  10668  -41.6  -57.3     17   0.06    330     32  340.3  340.6  340.3
  250.0  10930  -43.3  -58.3     18   0.06    340     38  341.6  341.8  341.6
  226.4  11582  -48.2  -62.3     18   0.04      0     46  343.9  344.1  343.9
  216.2  11887  -50.5  -64.2     18   0.03      0     50  344.9  345.1  344.9
  206.4  12192  -52.7  -66.0     18   0.03      0     53  345.9  346.1  345.9
  200.0  12400  -54.3  -67.3     19   0.02      0     59  346.6  346.7  346.6
  171.0  13375  -61.3  -73.7     18   0.01    350     70  350.9  351.0  350.9
  170.0  13411  -61.5  -74.0     18   0.01    350     70  351.1  351.1  351.1
  150.0  14190  -67.1  -79.1     17   0.01    355     60  354.3  354.3  354.3
  149.0  14230  -67.5  -79.5     17   0.00    354     60  354.3  354.3  354.3
  126.0  15235  -71.1  -82.1     18   0.00    335     63  365.2  365.2  365.2
  125.9  15240  -71.1  -82.1     18   0.00    335     62  365.3  365.3  365.3
  120.0  15525  -70.7  -81.7     18   0.00    339     53  371.0  371.1  371.0
  115.0  15781  -66.1  -80.1     13   0.01    342     44  384.1  384.1  384.1
  102.7  16459  -70.5  -81.8     17   0.00    350     22  388.4  388.4  388.4
  101.0  16561  -71.1  -82.1     18   0.00    337     22  389.0  389.0  389.0
  100.0  16620  -71.1  -82.1     18   0.00    330     22  390.1  390.1  390.1
   92.6  17069  -72.9  -83.2     20   0.00    300     30  395.1  395.2  395.1
   90.4  17210  -73.5  -83.5     21   0.00    300     33  396.7  396.8  396.7
   87.9  17374  -70.8  -82.5     16   0.01    300     37  405.3  405.3  405.3
   86.0  17504  -68.7  -81.7     14   0.01    319     35  412.1  412.1  412.1
   83.5  17678  -68.6  -81.6     14   0.01    345     33  415.7  415.7  415.7
   79.3  17983  -68.5  -81.5     14   0.01     25     24  422.0  422.1  422.0
   75.4  18288  -68.4  -81.4     14   0.01     20     10  428.4  428.5  428.4
   71.6  18593  -68.3  -81.3     14   0.01    305     10  435.0  435.0  435.0
   70.0  18730  -68.3  -81.3     14   0.01    350     18  437.9  438.0  437.9
   68.1  18898  -68.2  -81.2     14   0.01    355     22  441.6  441.6  441.6
   64.7  19202  -68.1  -81.1     14   0.01     30     20  448.2  448.3  448.2
   61.5  19507  -68.0  -81.0     14   0.01     75      9  455.0  455.1  455.0
   58.5  19812  -67.9  -80.9     14   0.01    310      6  461.9  461.9  461.9
   58.3  19832  -67.9  -80.9     14   0.01    313      7  462.3  462.4  462.3
   55.6  20117  -66.4  -80.9     11   0.01      0     17  472.0  472.1  472.0
   52.9  20422  -64.8  -80.9      9   0.01      5      7  482.5  482.6  482.6
   50.4  20726  -63.1  -80.9      7   0.01    315     13  493.3  493.4  493.3
   50.0  20770  -62.9  -80.9      7   0.01    325     15  494.8  494.9  494.8
   48.0  21031  -61.7  -80.5      6   0.01    345     20  503.8  503.9  503.8
   45.6  21336  -60.2  -80.0      6   0.01    345     23  514.4  514.5  514.4
   43.5  21641  -58.8  -79.6      5   0.02      0     22  525.2  525.3  525.2
   43.1  21694  -58.5  -79.5      5   0.02      5     21  527.1  527.2  527.1
   41.4  21946  -58.5  -80.0      5   0.02     30     17  533.0  533.2  533.0
   39.5  22250  -58.6  -80.7      4   0.02      5     10  540.3  540.5  540.3
   35.8  22860  -58.7  -81.9      4   0.01     40      9  555.2  555.3  555.2
   32.5  23470  -58.8  -83.2      3   0.01      0      2  570.5  570.6  570.5
   30.9  23774  -58.9  -83.8      3   0.01    310      8  578.3  578.4  578.3
   30.7  23825  -58.9  -83.9      3   0.01    320      9  579.6  579.8  579.7
   30.0  23970  -57.7  -83.7      2   0.01    350     13  586.8  586.9  586.8
   29.5  24079  -57.3  -83.7      2   0.01    350     15  590.7  590.9  590.7
   28.1  24384  -56.2  -83.7      2   0.01      5     18  602.0  602.1  602.0
   26.8  24689  -55.0  -83.7      2   0.01      0     13  613.5  613.6  613.5
   25.6  24994  -53.9  -83.7      1   0.01    350     28  625.2  625.3  625.2
   24.4  25298  -52.8  -83.7      1   0.01     20     32  637.0  637.1  637.0
   24.3  25314  -52.7  -83.7      1   0.01     20     32  637.6  637.8  637.6
   22.2  25908  -53.4  -84.4      1   0.01     35     23  652.5  652.7  652.6
   21.9  25983  -53.5  -84.5      1   0.01     45     20  654.5  654.6  654.5
