Country1,Year of Year,Rank,Measure Names,Alternate,Measure Values
Australia,2006,140th,Total,Australia,22
Australia,2007,168th,Total,Australia,23.2
Australia,2008,169th,Total,Australia,24.6
Australia,2009,170th,Total,Australia,25.9
Australia,2010,168th,Total,Australia,27.3
Australia,2011,167th,Total,Australia,28.1
Australia,2012,165th,Total,Australia,29.2
Australia,2013,169th,Total,Australia,25.4
Australia,2014,169th,Total,Australia,26.3
Australia,2015,170th,Total,Australia,24.3
Australia,2016,172nd,Total,Australia,22.5
Australia,2017,172nd,Total,Australia,22.3
Australia,2018,170th,Total,Australia,20.8
Australia,2019,174th,Total,Australia,19.7
Australia,2020,169th,Total,Australia,19.7
Australia,2021,170th,Total,Australia,21.8
