Country1,Year of Year,Rank,Measure Names,Alternate,Measure Values
Canada,2006,139th,Total,Canada,23.1
Canada,2007,167th,Total,Canada,25.1
Canada,2008,167th,Total,Canada,26.3
Canada,2009,166th,Total,Canada,27.7
Canada,2010,166th,Total,Canada,27.9
Canada,2011,168th,Total,Canada,27.7
Canada,2012,169th,Total,Canada,26.8
Canada,2013,168th,Total,Canada,26
Canada,2014,168th,Total,Canada,27.4
Canada,2015,168th,Total,Canada,25.6
Canada,2016,169th,Total,Canada,23.8
Canada,2017,169th,Total,Canada,22.6
Canada,2018,168th,Total,Canada,21.5
Canada,2019,172nd,Total,Canada,20
Canada,2020,171st,Total,Canada,18.7
Canada,2021,171st,Total,Canada,21.7
