Country1,Year of Year,Rank,Measure Names,Alternate,Measure Values
New Zealand,2006,141st,Total,New Zealand,19.4
New Zealand,2007,171st,Total,New Zealand,20.5
New Zealand,2008,171st,Total,New Zealand,21.4
New Zealand,2009,171st,Total,New Zealand,23.3
New Zealand,2010,171st,Total,New Zealand,23.9
New Zealand,2011,172nd,Total,New Zealand,24.8
New Zealand,2012,171st,Total,New Zealand,25.6
New Zealand,2013,173rd,Total,New Zealand,22.7
New Zealand,2014,173rd,Total,New Zealand,24.1
New Zealand,2015,172nd,Total,New Zealand,22.6
New Zealand,2016,176th,Total,New Zealand,21.3
New Zealand,2017,170th,Total,New Zealand,22.6
New Zealand,2018,169th,Total,New Zealand,20.9
New Zealand,2019,171st,Total,New Zealand,20.1
New Zealand,2020,173rd,Total,New Zealand,17.9
New Zealand,2021,176th,Total,New Zealand,18.4
