Country1,Year of Year,Rank,Measure Names,Alternate,Measure Values
United Kingdom,2006,130th,Total,United Kingdom,34.2
United Kingdom,2007,156th,Total,United Kingdom,34.1
United Kingdom,2008,160th,Total,United Kingdom,32.9
United Kingdom,2009,161st,Total,United Kingdom,33.6
United Kingdom,2010,161st,Total,United Kingdom,33.9
United Kingdom,2011,159th,Total,United Kingdom,34.1
United Kingdom,2012,158th,Total,United Kingdom,35.3
United Kingdom,2013,160th,Total,United Kingdom,33.2
United Kingdom,2014,161st,Total,United Kingdom,34.3
United Kingdom,2015,161st,Total,United Kingdom,33.4
United Kingdom,2016,162nd,Total,United Kingdom,32.4
United Kingdom,2017,160th,Total,United Kingdom,33.2
United Kingdom,2018,159th,Total,United Kingdom,34.3
United Kingdom,2019,155th,Total,United Kingdom,36.7
United Kingdom,2020,149th,Total,United Kingdom,38.3
United Kingdom,2021,150th,Total,United Kingdom,41.5
