ISO,Rank2021,FR_Country,EN_country,ES_country,Score A,Sco Exa,Score 2020,Progression RANK,Rank 2020,Score 2020,Zone,AR_country,FA_country
AFG,122,Afghanistan,Afghanistan,Afganistàn,"34,4","63,28","40,19",0,122,"37,7",Asie-Pacifique,أفغانستان,افغانستان
AGO,103,Angola,Angola,Angola,"34,06","25,65","34,06",3,106,"33,92",Afrique,أنغولا,آنگولا
ALB,83,Albanie,Albania,Albania,"30,59","23,98","30,59",1,84,"30,25",UE Balkans,ألبانيا,آلبانی
AND,39,Andorre,Andorra,Andorra,"23,32",0,"23,32",-2,37,"23,23",UE Balkans,أندورا,آندور
ARE,131,Émirats arabes unis,United Arab Emirates,Emiratos çrabes Unidos,"43,13","35,55","43,13",0,131,"42,69",MENA,الإمارات العربية المتحدة,امارات متحده عربی
ARG,69,Argentine,Argentina,Argentina,"28,99","10,99","28,99",-5,64,"28,78",Amériques,الأرجنتين,آرژانتین
ARM,63,Arménie,Armenia,Armenia,"28,83","16,09","28,83",-2,61,"28,6",EEAC,أرمينيا,ارمنستان
AUS,25,Australie,Australia,Australia,"19,79",0,"19,79",1,26,"20,21",Asie-Pacifique,أستراليا,استرالیا
AUT,17,Autriche,Austria,Austria,"16,34","10,99","16,34",1,18,"15,78",UE Balkans,النمسا,اتریش
AZE,167,Azerbaïdjan,Azerbaijan,Azerbaiyàn,"58,77","50,24","58,77",1,168,"58,48",EEAC,أذربيجان,آذربایجان
BDI,147,Burundi,Burundi,Burundi,"47,57","39,32","47,57",13,160,"55,33",Afrique,بوروندي,بروندی
BEL,11,Belgique,Belgium,Bélgica,"11,69","6,93","11,69",1,12,"12,57",UE Balkans,بلجيكا,بلژیک
BEN,114,Bénin,Benin,Benín,"38,18",0,"38,18",-1,113,"35,11",Afrique,بنين,بنین
BFA,37,Burkina Faso,Burkina Faso,Burkina Faso,"23,17","6,93","23,17",1,38,"23,47",Afrique,بوركينا فاسو,بورکینافاسو
BGD,152,Bangladesh,Bangladesh,Bangladés,"49,71","51,06","49,71",-1,151,"49,37",Asie-Pacifique,بنغلاديش,بنگلادش
BGR,112,Bulgarie,Bulgaria,Bulgaria,"37,29","24,85","37,29",-1,111,"35,06",UE Balkans,بلغاريا,بلغارستان
BHR,168,Bahreïn,Bahrain,Baréin,"60,11","64,91","61,1",1,169,"60,13",MENA,البحرين,بحرین
BIH,58,Bosnie-Herzégovine,Bosnia and Herzegovina,Bosnia-Herzegovina,"28,34","10,99","28,34",0,58,"28,51",UE Balkans,البوسنة والهرسك,بوسنی هرزوگوین
BLR,158,Bélarus,Belarus,Bielorrusia,"48,24","61,68","50,82",-5,153,"49,75",EEAC,روسيا البيضاء,روسیه سفید
BLZ,53,Bélize,Belize,Belice,"27,61",0,"27,61",0,53,"27,5",Amériques,بليز,بلیز
BOL,110,Bolivie,Bolivia,Bolivia,"35,47","27,73","35,47",4,114,"35,37",Amériques,بوليفيا,بلیوی
BRA,111,Brésil,Brazil,Brasil,"36,25","23,98","36,25",-4,107,"34,05",Amériques,البرازيل,برزیل
BRN,154,Brunei,Brunei Darussalam,Brunéi,"49,91",0,"49,91",-2,152,"49,65",Asie-Pacifique,بروناي,برونی
BTN,65,Bhoutan,Bhutan,Butàn,"28,86",0,"28,86",2,67,"28,9",Asie-Pacifique,بوتان,بوتان
BWA,38,Botswana,Botswana,Botsuana,"23,25","6,93","23,25",1,39,"23,56",Afrique,بوتسوانا,بوستاوانا
CAF,126,République centrafricaine,Central African Republic,Repœblica Centroafricana,"41,92",0,"41,92",6,132,"42,87",Afrique,جمهورية أفريقيا الوسطى,جمهوری آفریقای مرکزی
CAN,14,Canada,Canada,Canadà,"15,25",0,"15,25",2,16,"15,29",Amériques,كندا,کانادا
CHE,10,Suisse,Switzerland,Suiza,"10,55","6,93","10,55",-2,8,"10,62",UE Balkans,سويسرا,سويیس
CHL,54,Chili,Chile,Chile,"27,36","30,45","27,89",-3,51,"27,31",Amériques,تشيلي,شیلی
CHN,177,Chine,China,China,"78,1","81,77","78,72",0,177,"78,48",Asie-Pacifique,الصين,چین
CIV,66,Côte d'Ivoire,Ivory Coast,Costa de Marfil,"28,87","17,92","28,87",2,68,"28,94",Afrique,ساحل العاج,ساحل عاج
CMR,135,Cameroun,Cameroon,Camerœn,"43,78","43,57","43,78",-1,134,"43,28",Afrique,الكاميرون,کامرون
COD,149,RD Congo,The Democratic Republic Of The Congo,RD Congo,"48,59","43,82","48,59",1,150,"49,09",Afrique,جمهورية الكونغو الديمقراطية,جمهوری دمکراتیک کنگو
COG,118,Congo,Congo,Repœblica del Congo,"38,83","23,98","38,83",0,118,"36,56",Afrique,الكونغو,کنگو
COL,134,Colombie,Colombia,Colombia,"43,44","45,64","43,74",-4,130,"42,66",Amériques,كولومبيا,کلمبیا
COM,84,Comores,Comoros,Comoras,"30,65","6,93","30,65",-9,75,"29,77",Afrique,جزر القمر,کومور
CPV,27,Cap-Vert,Cape Verde,Cabo Verde,"20,09",0,"20,09",-2,25,"20,15",Afrique,الرأس الأخضر,کیپورد
CRI,5,Costa Rica,Costa Rica,Costa Rica,"8,21","10,99","8,76",2,7,"10,53",Amériques,كوستاريكا,کاستاریکا
CTU,76,Chypre (partie Nord),Cyprus North,Chipre Norte,"29,82",0,"29,82",1,77,"29,79",UE Balkans,قبرص (الجزء الشمالي),قبرس (شمالی)
CUB,171,Cuba,Cuba,Cuba,"63,93",0,"63,94",0,171,"63,81",Amériques,كوبا,کوبا
CYP,26,Chypre,Cyprus,Chipre,"19,85","16,09","19,85",1,27,"20,45",UE Balkans,قبرص,قبرس
CZE,40,République tchèque,Czech Republic,Repœblica Checa,"23,38",0,"23,38",0,40,"23,57",UE Balkans,جمهورية التشيك,جمهوری چک
DEU,13,Allemagne,Germany,Alemania,"8,25","43,31","15,24",-2,11,"12,16",UE Balkans,ألمانيا,آلمان
DJI,176,Djibouti,Djibouti,Yibuti,"78,62","10,99","78,62",0,176,"76,73",Afrique,جيبوتي,جیبوتی
DNK,4,Danemark,Denmark,Dinamarca,"8,57",0,"8,57",-1,3,"8,13",UE Balkans,الدنمارك,دانمارک
DOM,50,République dominicaine,Dominican Republic,Repœblica Dominicana,"25,6","6,93","25,6",5,55,"27,9",Amériques,جمهورية الدومينيكان,جمهوری دومینیک
DZA,146,Algérie,Algeria,Argelia,"47,26","35,55","47,26",0,146,"45,52",MENA,الجزائر,الجزایر
ECU,96,Equateur,Ecuador,Ecuador,"32,83","19,46","32,83",2,98,"32,62",Amériques,الإكوادور,اکواتور
EGY,166,Égypte,Egypt,Egipto,"54,67","64,13","56,17",0,166,"56,82",MENA,مصر,مصر
ERI,180,Érythrée,Eritrea,Eritrea,"82,05","73,05","81,45",-2,178,"83,5",Afrique,إريتريا,اریتره
ESP,29,Espagne,Spain,España,"19,7","23,98","20,44",0,29,"22,16",UE Balkans,إسبانيا,اسپانیا
EST,15,Estonie,Estonia,Estonia,"15,25",0,"15,25",-1,14,"12,61",UE Balkans,إستونيا,استونی
ETH,101,Éthiopie,Ethiopia,Etiopía,"33,63","30,91","33,63",-2,99,"32,82",Afrique,أثيوبيا,اتیوپی
FIN,2,Finlande,Finland,Finlandia,"6,99",0,"6,99",0,2,"7,93",UE Balkans,فنلندا,فنلاند
FJI,55,Fidji,Fiji,Fiyi,"27,92",0,"27,92",-3,52,"27,41",Asie-Pacifique,فيجي,فیجی
FRA,34,France,France,Francia,"17,89","41,9","22,6",0,34,"22,92",UE Balkans,فرنسا,فرانسه
GAB,117,Gabon,Gabon,Repœblica Gabonesa,"38,6",0,"38,6",4,121,"37,2",Afrique,الغابون,گابون
GBR,33,Royaume-Uni,United Kingdom,Reino Unido,"21,65","13,86","21,59",2,35,"22,93",UE Balkans,المملكة المتحدة,بریتانیا
GEO,60,Géorgie,Georgia,Georgia,"28,64",0,"28,64",0,60,"28,59",EEAC,جورجيا,گرجستان
GHA,30,Ghana,Ghana,Ghana,"21,33","17,92","21,33",0,30,"22,26",Afrique,غانا,غنا
GIN,109,Guinée,Guinea,Guinea,"35,42","17,92","35,42",1,110,"34,34",Afrique,غينيا,گینه
GMB,85,Gambie,Gambia,Gambia,"30,76","6,93","30,76",2,87,"30,62",Afrique,غامبيا,گامبیا
GNB,95,Guinée-Bissau,Guinea-Bissau,Guinea-Bisàu,"32,68",0,"32,68",-1,94,"32,06",Afrique,غينيا بيساو,گینه بیسائو
GNQ,164,Guinée équatoriale,Equatorial Guinea,Guinea Ecuatorial,"55,67",0,"55,67",1,165,"56,38",Afrique,غينيا الاستوائية,گینه اکوادور
GRC,70,Grèce,Greece,Grecia,"28,43","32,19","29,01",-5,65,"28,8",UE Balkans,اليونان,یونان
